Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
24/09/2012,1762.1,1762.1,1762.1,1762.1
24/09/2013,1316,1324.9,1321.2,1309.4
24/09/2014,1374.9,1216.8,1216.8,1216.8
24/09/2015,1226.9,1226.9,1226.9,1226.9
24/09/2018,1277.4,1277.4,1277.4,1277.4
24/09/2019,1570.1,1573,1560.1,1554.9
24/09/2020,1876.9,1880.9,1866.9,1851
24/10/2011,1651.5,1657.8,1646.2,1638.8
24/10/2012,1700.5,1708.5,1708.4,1698.6
24/10/2013,1350.2,1350.1,1334.5,1334.5
24/10/2014,1355,1232.7,1229.4,1229.4
24/10/2016,1317.2,1317.2,1317.2,1317.2
24/10/2017,1354.2,1354.2,1354.2,1354.2
24/10/2018,1305.5,1305.5,1305.5,1305.5
24/10/2019,1533.9,1534.7,1524.3,1522
24/11/2014,1314.2,1197.9,1197.7,1196.5
24/11/2015,1131.6,1131.6,1131.6,1131.6
24/11/2016,1185.55,1190.3,1189.2,1179.75
24/11/2017,1371.6,1371.6,1371.6,1371.6
24/11/2020,1810.9,1843,1842.6,1803.7
24/12/2012,1658.6,1663.8,1657.7,1654.9
24/12/2013,1205.1,1205.6,1199.8,1197.7
24/12/2014,1285.6,1179.3,1177,1173.7
24/12/2015,1135.9,1135.9,1135.9,1135.9
24/12/2018,1337,1337,1337,1337
24/12/2019,1530.5,1530.1,1518.6,1518.6
24/12/2020,1883.2,1887.4,1877.3,1873.1
25/01/2011,1332.3,1331.5,1330.4,1323.6
25/01/2012,1699.8,1706.2,1673,1658.3
25/01/2013,1656.4,1663,1663,1657.2
25/01/2016,1152.4,1152.4,1152.4,1152.4
25/01/2017,1281.1,1281.1,1281.1,1281.1
25/01/2018,1463.1,1463.1,1463.1,1463.1
25/01/2019,1364,1360,1360,1360
25/02/2011,1408.7,1411,1401.7,1401
25/02/2013,1586.2,1596,1579.4,1577.7
25/02/2014,1343,1343.9,1336.4,1333.1
25/02/2015,1296,1296,1296,1296
25/02/2016,1277,1277,1277,1277
25/02/2019,1389,1389,1389,1389
25/02/2020,1670.2,1681.6,1681.6,1650
25/03/2011,1426.1,1436,1436,1436
25/03/2013,1604.6,1607.8,1607.1,1596.1
25/03/2014,1311.4,1315.5,1315.5,1307.5
25/03/2015,1287.3,1287.3,1287.3,1287.3
25/03/2016,1216.7,1216.7,1216.7,1216.7
25/03/2019,1378.1,1378.1,1378.1,1378.1
25/03/2020,1633.3,1695,1688,1607.5
25/04/2011,1508.6,1518,1513.3,1502.8
25/04/2012,1641.4,1643.8,1641.3,1626.9
25/04/2013,1461.8,1458.3,1433,1433
25/04/2014,1300.7,1304.6,1293.8,1293.8
25/04/2016,1289.1,1289.1,1289.1,1289.1
25/04/2017,1346,1346,1346,1346
25/04/2018,1422.9,1422.9,1422.9,1422.9
25/04/2019,1330.2,1330.2,1330.2,1330.2
25/05/2011,1526.6,1527.5,1526.4,1526.1
25/05/2012,1568.8,1568,1558.2,1557.3
25/05/2014,1291.7,1294.2,1293.9,1291.1
25/05/2015,1207.4,1209,1204.6,1203.3
25/05/2016,1277.4,1277.4,1277.4,1277.4
25/05/2017,1333.3,1333.3,1333.3,1333.3
25/05/2018,1403.2,1403.2,1403.2,1403.2
25/05/2020,1727,1731.35,1730.55,1719.25
25/06/2012,1587.5,1587.3,1574.9,1571
25/06/2013,1274.8,1286,1281.3,1273.2
25/06/2014,1322.2,1323.4,1315.3,1312
25/06/2015,1270.3,1270.3,1270.3,1270.3
25/06/2018,1359.6,1353.7,1353.7,1353.7
25/06/2019,1451.3,1473.9,1461.3,1448.7
25/06/2020,1788.4,1796.6,1789.3,1781.6
25/07/2011,1612,1619.4,1610,1610
25/07/2012,1608,1603.9,1583.7,1583.3
25/07/2013,1329,1336.8,1318.5,1318.5
25/07/2014,1460.3,1294.8,1294.8,1294.8
25/07/2016,1381.3,1381.3,1381.3,1381.3
25/07/2017,1323.2,1323.2,1323.2,1323.2
25/07/2018,1316.7,1316.7,1316.7,1316.7
25/07/2019,1454.4,1468,1465.1,1456.1
25/08/2011,1759.8,1772.5,1748.4,1707.3
25/08/2014,1433.1,1424.9,1424.9,1424.9
25/08/2015,1223.7,1223.7,1223.7,1223.7
25/08/2016,1384,1384.4,1384.4,1384.4
25/08/2017,1364.8,1364.8,1364.8,1364.8
25/08/2020,1923.1,1944.1,1935.9,1919.1
25/09/2012,1763.8,1772.7,1772.6,1772.6
25/09/2013,1335.9,1335.3,1322.7,1322.7
25/09/2014,1376.4,1216.1,1209.5,1209.5
25/09/2015,1218.8,1218.8,1218.8,1218.8
25/09/2017,1383.5,1382,1382,1382
25/09/2018,1278.2,1278.2,1278.2,1278.2
25/09/2019,1542,1572,1572,1539.1
25/09/2020,1866.3,1879.3,1872.7,1854.1
25/10/2011,1699.6,1706.8,1645,1645
25/10/2012,1712,1716.7,1711.7,1711.7
25/10/2013,1352.4,1353,1346.2,1346.2
25/10/2016,1331.6,1331.6,1331.6,1331.6
25/10/2017,1355.5,1355.5,1355.5,1355.5
25/10/2018,1306.7,1306.7,1306.7,1306.7
25/10/2019,1535.1,1549.9,1537.5,1535
25/11/2011,1685.5,1693.5,1690.1,1675.3
25/11/2013,1241.1,1240.7,1231.1,1229
25/11/2014,1315.2,1197.1,1197.1,1197.1
25/11/2015,1128.4,1128.4,1128.4,1128.4
25/11/2016,1245.5,1245.5,1245.5,1245.5
25/11/2019,1488.1,1492,1490.9,1485.2
25/11/2020,1811.2,1821.7,1812,1804.7
25/12/2014,1177,1178.9,1175,1175
25/12/2016,1135,1135,1135,1135
25/12/2017,1277.9,1279.5,1278.9,1277.9
